tarih,marka,seri_adi,varyant,kategori1,hacim,kategori2,platform,fiyat,durum,url,satici
2026-08-05 15:24,Trixie,Matara,Trixie Mr.Lion 500 Ml - Su Şişesi,,500ml,matara,popcorner,2100.0,ok,https://popcorner.com.tr/products/trixie-mr-lion-500ml-su-sisesi,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr. Dino 500ml - Su Şişesi,,500ml,matara,popcorner,2100.0,ok,https://popcorner.com.tr/products/mr-dino-trixie-bottle-500ml-41-200,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mrs. Peacock 500 Ml - Su Şişesi,,500ml,matara,popcorner,2100.0,ok,https://popcorner.com.tr/products/trixie-bottle-500ml-mrs-peacock,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr. Alligator 500 Ml - Su Şişesi,,500ml,matara,popcorner,2100.0,ok,https://popcorner.com.tr/products/trixie-bottle-500ml-mr-alligator,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mrs. Peacock 350ml - Su Şişesi,,350ml,matara,popcorner,1850.0,ok,https://popcorner.com.tr/products/trixie-bottle-350ml-mrs-peacock,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr. Alligator 350ml - Su Şişesi,,350ml,matara,popcorner,1850.0,ok,https://popcorner.com.tr/products/trixie-bottle-350ml-mr-alligator,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr. Fox - 360° Saplı Suluk 240 ml,,240ml,matara,popcorner,1250.0,ok,https://popcorner.com.tr/products/trixie-360-cup-with-handles-mrs-cat,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr. Lion - 360° Saplı Suluk 240 ml,,240ml,matara,popcorner,1250.0,ok,https://popcorner.com.tr/products/trixie-360-cup-with-handles-mr-lion,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr. Fox -  Pipetli Su Şişesi 300 ml,,300ml,matara,popcorner,1250.0,ok,https://popcorner.com.tr/products/trixie-straw-cup-mr-fox,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mr. Shark - 360° Saplı Suluk 240 ml,,240ml,matara,popcorner,1250.0,ok,https://popcorner.com.tr/products/trixie-360-cup-with-handles-mr-shark,popcorner
2026-08-05 15:24,Trixie,Matara,Trixie Mrs. Cat - 360° Saplı Suluk 240 ml,,240ml,matara,popcorner,1250.0,ok,https://popcorner.com.tr/products/trixie-360-cup-with-handles-mr-fox,popcorner
